race_id,horse_number,age,dhweight,disRoc,enterTimes,preOOF,pre2OOF,surface,weather,course,jEps,runningStyle,preLastPhase,distance,sex,popularity,odds,weight,eps,jwinper,owinper,twinper,winRun,order_of_finish
5,4,4.0,2.0,-0.104477611940299,6.0,9.0,11.0,ダ,曇,右,115,-3.75,35.6,1000,牡,14,187.8,454,0.0,0.07,0.07,0.07,0.0,5
5,5,7.0,14.0,-0.107142857142857,5.0,9.0,7.0,ダ,曇,右,115,2.5,35.6,1000,牡,11,38.0,520,0.0,0.07,0.07,0.07,0.0,13
5,6,4.0,6.0,-0.0740740740740741,5.0,13.0,8.0,ダ,曇,右,115,-0.625,38.6,1000,牝,10,37.6,446,142.0,0.07,0.07,0.07,0.2,10
5,7,4.0,4.0,-0.130434782608696,4.0,6.0,15.0,ダ,曇,右,115,-6.5,35.4,1000,牡,6,14.2,420,0.0,0.07,0.07,0.07,0.0,8
5,8,4.0,10.0,-0.375,2.0,7.0,15.0,ダ,曇,右,115,-4.25,38.4,1000,牡,5,9.7,514,0.0,0.07,0.07,0.07,0.0,9
5,9,4.0,4.0,-0.0804597701149425,4.0,2.0,3.0,ダ,曇,右,115,3.875,35.0,1000,牝,1,2.4,488,122.5,0.07,0.07,0.07,0.0,12
5,10,5.0,4.0,-0.375,1.0,16.0,,ダ,曇,右,115,-10.0,39.6,1000,牝,13,96.5,430,0.0,0.07,0.07,0.07,0.0,11
5,11,4.0,0.0,-0.0909090909090909,2.0,7.0,14.0,ダ,曇,右,115,-6.75,35.5,1000,牡,7,15.3,490,0.0,0.07,0.07,0.07,0.0,7
5,12,5.0,-6.0,-0.651162790697674,3.0,9.0,1.0,ダ,曇,右,115,-0.5,13.1,1000,牝,12,56.4,454,263.333333333333,0.07,0.07,0.07,0.333333333333333,6
5,13,4.0,-6.0,-0.148936170212766,4.0,5.0,11.0,ダ,曇,右,115,2.33333333333333,34.8,1000,牝,8,27.4,460,19.0,0.07,0.07,0.07,0.0,2
5,14,4.0,6.0,-0.166666666666667,3.0,10.0,11.0,ダ,曇,右,115,-7.5,37.8,1000,牡,4,8.5,520,0.0,0.07,0.07,0.07,0.0,14
6,1,3.0,12.0,,0.0,,,ダ,晴,右,72.,NaN,,1700,牝,7,16.8,446,,0.07,0.07,0.07,,12
6,2,3.0,10.0,0.0,1.0,2.0,,ダ,晴,右,72.,1.5,38.2,1700,牝,1,2.0,478,200.0,0.07,0.07,0.07,0.0,1
6,3,3.0,0.0,-0.328947368421053,3.0,3.0,4.0,ダ,晴,右,72.,1.08333333333333,38.8,1700,牡,4,9.9,522,69.0,0.07,0.07,0.07,0.0,5
6,4,3.0,6.0,,0.0,,,ダ,晴,右,72.,NaN,,1700,牡,13,97.3,494,,0.07,0.07,0.07,,13
6,5,3.0,0.0,,0.0,,,ダ,晴,右,72.,NaN,,1700,牡,6,15.5,448,,0.07,0.07,0.07,,2
6,6,3.0,4.0,0.0,1.0,6.0,,ダ,晴,右,72.,5.25,39.7,1700,牝,14,304.2,430,0.0,0.07,0.07,0.07,0.0,11
6,7,3.0,-2.0,-0.209302325581395,2.0,4.0,9.0,ダ,晴,右,72.,6.0,38.3,1700,牡,9,32.6,438,38.5,0.07,0.07,0.07,0.0,6
6,8,3.0,0.0,0.0,2.0,2.0,2.0,ダ,晴,右,72.,4.625,38.7,1700,牡,3,8.6,430,200.0,0.07,0.07,0.07,0.0,3
6,9,3.0,-4.0,-0.0285714285714286,2.0,4.0,8.0,ダ,晴,右,72.,5.625,38.4,1700,牝,11,37.2,470,38.5,0.07,0.07,0.07,0.0,9
6,10,3.0,0.0,0.0,1.0,5.0,,ダ,晴,右,72.,1.0,39.0,1700,牡,5,11.4,506,51.0,0.07,0.07,0.07,0.0,4
6,11,3.0,0.0,0.0625,1.0,7.0,,ダ,晴,右,72.,3.0,36.1,1700,牝,2,6.2,434,0.0,0.07,0.07,0.07,0.0,8
6,12,3.0,0.0,0.7,1.0,5.0,,ダ,晴,右,72.,0.0,35.9,1700,牡,10,32.8,486,51.0,0.07,0.07,0.07,0.0,14
6,13,3.0,2.0,0.0,1.0,4.0,,ダ,晴,右,72.,7.25,38.1,1700,牡,8,22.0,452,77.0,0.07,0.07,0.07,0.0,7
6,14,3.0,0.0,0.0,1.0,5.0,,ダ,晴,右,72.,-0.75,39.3,1700,牡,12,50.5,478,51.0,0.07,0.07,0.07,0.0,10
7,1,3.0,0.0,,0.0,,,ダ,晴,左,134,NaN,,1400,牡,9,28.3,450,,0.08,0.08,0.08,,11
7,2,3.0,0.0,,0.0,,,ダ,晴,左,134,NaN,,1400,セ,12,74.4,472,,0.08,0.08,0.08,,8
7,3,3.0,0.0,,0.0,,,ダ,晴,左,134,NaN,,1400,牡,1,2.5,482,,0.08,0.08,0.08,,3
7,4,3.0,0.0,,0.0,,,ダ,晴,左,134,NaN,,1400,牝,11,63.8,492,,0.08,0.08,0.08,,15
7,5,3.0,0.0,,0.0,,,ダ,晴,左,134,NaN,,1400,牡,8,22.3,440,,0.08,0.08,0.08,,7
7,6,3.0,0.0,,0.0,,,ダ,晴,左,134,NaN,,1400,牝,5,9.3,458,,0.08,0.08,0.08,,4
7,7,3.0,0.0,,0.0,,,ダ,晴,左,134,NaN,,1400,牡,14,137.1,526,,0.08,0.08,0.08,,6
7,8,3.0,0.0,,0.0,,,ダ,晴,左,134,NaN,,1400,牡,6,10.3,484,,0.08,0.08,0.08,,1
7,9,3.0,0.0,,0.0,,,ダ,晴,左,134,NaN,,1400,牡,13,91.4,474,,0.08,0.08,0.08,,9
7,10,3.0,0.0,,0.0,,,ダ,晴,左,134,NaN,,1400,牝,16,260.2,434,,0.08,0.08,0.08,,16
7,11,3.0,0.0,,0.0,,,ダ,晴,左,134,NaN,,1400,牡,2,6.8,506,,0.08,0.08,0.08,,2
7,12,3.0,0.0,,0.0,,,ダ,晴,左,134,NaN,,1400,牝,4,8.6,460,,0.08,0.08,0.08,,5
7,13,3.0,0.0,,0.0,,,ダ,晴,左,134,NaN,,1400,牡,7,12.1,478,,0.08,0.08,0.08,,10
7,14,3.0,0.0,,0.0,,,ダ,晴,左,134,NaN,,1400,牝,3,6.8,452,,0.08,0.08,0.08,,13
7,15,3.0,0.0,,0.0,,,ダ,晴,左,134,NaN,,1400,牡,15,164.8,502,,0.08,0.08,0.08,,12
7,16,3.0,0.0,,0.0,,,ダ,晴,左,134,NaN,,1400,牡,10,38.2,488,,0.08,0.08,0.08,,14
8,1,5.0,-4.0,0.142857142857143,1.0,10.0,,芝,晴,右,100,NaN,34.1,1600,牡,8,18.2,504,0.0,0.07,0.07,0.07,0.0,3
8,2,3.0,-4.0,0.333333333333333,2.0,15.0,4.0,芝,晴,右,100,-0.25,34.9,1600,牝,10,28.8,446,38.5,0.07,0.07,0.07,0.0,7
8,3,7.0,0.0,0.0,1.0,4.0,,芝,晴,右,100,-1.33333333333333,35.6,1600,牡,4,8.7,502,160.0,0.07,0.07,0.07,0.0,9
8,4,4.0,4.0,0.0,1.0,7.0,,芝,晴,右,100,6.0,34.7,1600,牡,7,13.3,460,0.0,0.07,0.07,0.07,0.0,1
8,5,3.0,0.0,-0.272727272727273,1.0,11.0,,芝,晴,右,100,-9.0,36.1,1600,牡,3,5.7,490,0.0,0.07,0.07,0.07,0.0,11
8,6,3.0,12.0,-0.157894736842105,2.0,3.0,12.0,芝,晴,右,100,3.125,35.7,1600,牝,5,9.7,492,95.0,0.07,0.07,0.07,0.0,2
8,7,3.0,2.0,-0.0303030303030303,4.0,7.0,5.0,芝,晴,右,100,2.22222222222222,34.8,1600,牝,6,11.1,452,19.0,0.07,0.07,0.07,0.0,5
